Algorithm,Environment,Reward_mean,Reward_std,Steps,Seed
SAC+BC,train,0.0,0.0,50,2
SAC+BC,test_100,0.1,0.30000000000000004,50,2
SAC+BC,test_0,0.1,0.30000000000000004,50,2
SAC+BC,train,0.0,0.0,100,2
SAC+BC,test_100,0.05,0.21794494717703364,100,2
SAC+BC,test_0,0.05,0.21794494717703364,100,2
SAC+BC,train,0.0,0.0,150,2
SAC+BC,test_100,0.075,0.26339134382131846,150,2
SAC+BC,test_0,0.05,0.21794494717703364,150,2
SAC+BC,train,0.0,0.0,200,2
SAC+BC,test_100,0.075,0.26339134382131846,200,2
SAC+BC,test_0,0.1,0.30000000000000004,200,2
